Ebulk,Edarcy,Eshear,Etotal,b,k,α,ζ,ηs,κd,φ
848014.2859127842,2.3146575162234265e11,6.163029036639672e9,0.0,1.0,1.0e-6,0.0,9.726434060280848e21,9.726434060280848e18,2.0e11,0.001
845981.150785759,2.5991932088140976e11,6.153104642725009e9,0.0,1.0,1.0e-6,0.022762779044188663,9.499339340762973e21,9.720607378699622e18,1.9099851720428745e11,0.0010232929922807535
850295.8287374093,2.8518559617312897e11,6.146079761127297e9,0.0,1.0,1.0e-6,0.045007413978564115,9.27741724474411e21,9.714648449151277e18,1.8240216787118192e11,0.0010471285480508996
847373.4446820136,3.089348548941898e11,6.141108111481864e9,0.0,1.0,1.0e-6,0.06674569920300855,9.060550104272519e21,9.708554352800608e18,1.7419271799121628e11,0.001071519305237606
835957.2429574219,3.31634527961615e11,6.137746007580952e9,0.0,1.0,1.0e-6,0.08798916064409035,8.848622931511397e21,9.70232211029484e18,1.6635275422053418e11,0.0010964781961431851
817568.6926213783,3.532768062237572e11,6.1357036674039135e9,0.0,1.0,1.0e-6,0.1087490618662541,8.641523357766845e21,9.695948680695865e18,1.5886564694485645e11,0.001122018454301963
794077.0348488718,3.737140850983886e11,6.13475855337297e9,0.0,1.0,1.0e-6,0.12903641004391941,8.439141573903981e21,9.68943096040276e18,1.5171551500583673e11,0.0011481536214968829
767097.8113427811,3.9280524062110187e11,6.134725877895578e9,0.0,1.0,1.0e-6,0.14886196179762312,8.241370272120339e21,9.682765782065508e18,1.4488719201499817e11,0.001174897554939529
737896.8742468628,4.1046714043331226e11,6.135449077096167e9,0.0,1.0,1.0e-6,0.16823622889732903,8.048104589044894e21,9.675949913489867e18,1.383661941837873e11,0.001202264434617413
707428.9441878706,4.266812634806672e11,6.136796354474647e9,0.0,1.0,1.0e-6,0.18716948383590049,7.85924205013356e21,9.668980056534794e18,1.3213868960151929e11,0.0012302687708123812
676401.6636326873,4.4148218419708386e11,6.138658423389684e9,0.0,1.0,1.0e-6,0.20567176527571862,7.674682515330168e21,9.661852846001529e18,1.261914688960386e11,0.0012589254117941675
645334.388476498,4.549413877081697e11,6.140946098490384e9,0.0,1.0,1.0e-6,0.22375288337130805,7.494328125965933e21,9.654564848516856e18,1.2051191721487163e11,0.0012882495516931337
614605.124260465,4.6715236426584845e11,6.143587625115298e9,0.0,1.0,1.0e-6,0.24142242497081645,7.318083252867537e21,9.647112561409425e18,1.1508798746743132e11,0.0013182567385564075
584486.1553287616,4.782189863783161e11,6.146525957607723e9,0.0,1.0,1.0e-6,0.2586897586990823,7.14585444564754e21,9.639492411581086e18,1.0990817477152496e11,0.0013489628825916532
555170.5937754783,4.8824732776040826e11,6.149716196059392e9,0.0,1.0,1.0e-6,0.2755640399250102,6.977550383149457e21,9.631700754373343e18,1.0496149204995444e11,0.0013803842646028853
526792.0754533525,4.9734037083424774e11,6.153123308722605e9,0.0,1.0,1.0e-6,0.29205421561586187,6.81308182502168e21,9.623733872430035e18,1.0023744672545451e11,0.001412537544622754
499439.40739054873,5.055948858147352e11,6.156720189716429e9,0.0,1.0,1.0e-6,0.3081690290810637,6.652361564394328e21,9.615587974557161e18,9.572601846452762e10,0.001445439770745928
473167.52259819955,5.1309983015950903e11,6.160486049628735e9,0.0,1.0,1.0e-6,0.3239170246080181,6.495304381633934e21,9.607259194580462e18,9.141763792297505e10,0.0014791083881682072
448005.7306122891,5.199357540368339e11,6.16440510843373e9,0.0,1.0,1.0e-6,0.3393065519924042,6.341826999151418e21,9.598743590202075e18,8.730316644803313e10,0.0015135612484362087
423963.9763439463,5.2617483590988934e11,6.168465548559846e9,0.0,1.0,1.0e-6,0.35434577096534436,6.191848037239615e21,9.590037141857343e18,8.337387669406711e10,0.0015488166189124811
401037.6205346309,5.318812874196784e11,6.172658684214928e9,0.0,1.0,1.0e-6,0.369042655519807,6.045287970916569e21,9.581135751572732e18,7.96214341106994e10,0.001584893192461114
379211.1132410339,5.371119537903759e11,6.176978306415914e9,0.0,1.0,1.0e-6,0.3834049981385178,5.90206908775188e21,9.572035241826007e18,7.603787926411226e10,0.00162181009735893
358460.8311220007,5.41916998198777e11,6.181420168611497e9,0.0,1.0,1.0e-6,0.39744041392564244,5.762115446653793e21,9.562731354410371e18,7.261561095402023e10,0.0016595869074375613
338757.27768765384,5.463406013313496e11,6.185981583673981e9,0.0,1.0,1.0e-6,0.411156344644411,5.625352837594965e21,9.55321974930331e18,6.934737009050635e10,0.0016982436524617442
320066.794391867,5.504216358962255e11,6.190661108542704e9,0.0,1.0,1.0e-6,0.4245600626628433,5.491708742255742e21,9.543496003542223e18,6.6226224296518166e10,0.0017378008287493763
302352.8934205219,5.541942943989271e11,6.195458297587135e9,0.0,1.0,1.0e-6,0.4376586748096509,5.361112295563958e21,9.53355561010789e18,6.324555320336759e10,0.0017782794100389228
285577.2960370109,5.576886602086616e11,6.200373509741221e9,0.0,1.0,1.0e-6,0.45045912614237515,5.233494248110804e21,9.523393976817635e18,6.039903440804039e10,0.0018197008586099826
269700.74047964765,5.60931219110385e11,6.205407757687634e9,0.0,1.0,1.0e-6,0.46296820362974733,5.108786929422859e21,9.513006425229695e18,5.7680630062532104e10,0.0018620871366628676
254683.60863995663,5.639453127324935e11,6.210562589939421e9,0.0,1.0,1.0e-6,0.4751925397502277,4.986924212070968e21,9.502388189561051e18,5.508457406676327e10,0.0019054607179632482
240486.40967281067,5.667515375287529e11,6.215839998689135e9,0.0,1.0,1.0e-6,0.4871386160086352,4.867841476596495e21,9.491534415619906e18,5.260535983790763e10,0.0019498445997580456
