D,Ecomp,Ecomp_solid,Edarcy,Eshear,Eshear_solid,Etotal,Etotal_solid,a,k,α,ζ,ηs,κd,φ
50.0,NaN,2.4913824911994203e6,NaN,NaN,9.4773609613983e8,NaN,9.550599021364582e8,0.01,2.0406081012141632e-12,0.2056717652757185,7.708061302585856e20,7.708061302585857e18,1.2619146889603865e11,0.010000000000000002
50.0,1.7464502993145452e6,2.4913824911994203e6,2.0874250719314933e7,9.116024792412043e8,9.4773609613983e8,9.384827785297474e8,9.550599021364582e8,0.1,2.0406081012141637e-10,0.2056717652757185,7.708061302585856e20,7.708061302585857e18,1.2619146889603865e11,0.010000000000000002
50.0,1.746456393254445e6,2.4913824911994203e6,8.28389244366546e7,9.116020380185969e8,9.4773609613983e8,1.0004802298329107e9,9.550599021364582e8,0.2,8.162432404856655e-10,0.2056717652757185,7.708061302585856e20,7.708061302585857e18,1.2619146889603865e11,0.010000000000000002
300.0,NaN,8.77664622129619e6,NaN,NaN,7.770592857692625e9,NaN,7.828118744006353e9,0.01,2.0406081012141632e-12,0.2056717652757185,7.708061302585856e20,7.708061302585857e18,1.2619146889603865e11,0.010000000000000002
300.0,NaN,8.77664622129619e6,NaN,NaN,7.770592857692625e9,NaN,7.828118744006353e9,0.1,2.0406081012141637e-10,0.2056717652757185,7.708061302585856e20,7.708061302585857e18,1.2619146889603865e11,0.010000000000000002
300.0,6.934934619320016e6,8.77664622129619e6,3.808119663479066e8,7.636141315007299e9,7.770592857692625e9,8.000408068603893e9,7.828118744006353e9,0.2,8.162432404856655e-10,0.2056717652757185,7.708061302585856e20,7.708061302585857e18,1.2619146889603865e11,0.010000000000000002
50.0,NaN,2.885395675579896e6,NaN,NaN,9.782557066468275e8,NaN,9.861294449982551e8,0.01,2.8895539736148447e-12,0.21476436538992827,6.655492384237034e20,7.467585277580127e18,1.2331900037229642e11,0.011220184543019636
50.0,1.9886742087443217e6,2.885395675579896e6,2.936309195585535e7,9.385629343368202e8,9.782557066468275e8,9.742924042193146e8,9.861294449982551e8,0.1,2.8895539736148455e-10,0.21476436538992827,6.655492384237034e20,7.467585277580127e18,1.2331900037229642e11,0.011220184543019636
50.0,1.9886833351109347e6,2.885395675579896e6,1.1640578090298536e8,9.385623721318203e8,9.782557066468275e8,1.0613809156393667e9,9.861294449982551e8,0.2,1.1558215894459382e-9,0.21476436538992827,6.655492384237034e20,7.467585277580127e18,1.2331900037229642e11,0.011220184543019636
300.0,NaN,1.0164676499317544e7,NaN,NaN,8.020826518865102e9,NaN,8.0813088909395685e9,0.01,2.8895539736148447e-12,0.21476436538992827,6.655492384237034e20,7.467585277580127e18,1.2331900037229642e11,0.011220184543019636
