D,Ebulk1,Ebulk2,Edarcy1,Edarcy2,Eshear1,Eshear2,Etotal1,Etotal2,a,k,α,ζ,ηs,κd,φ
50.0,0.0,0.0,7.905430853936534e7,5.213881252267591e7,8.539783578591444e8,9.903803444674665e8,9.5122012929298e8,1.1347377454709187e9,0.2,8.162432404856655e-10,0.2056717652757185,8.049861307732682e20,8.049861307732684e18,1.2619146889603865e11,0.010000000000000002
50.0,0.0,0.0,9.380370403249727e7,6.215602966377993e7,8.661159456956296e8,1.0039351734414935e9,9.7840968103836e8,1.1663732658707666e9,0.2,9.712692144218744e-10,0.21023115060011432,7.483522490913996e20,7.926949075948673e18,1.2474696709648386e11,0.010592537251772886
50.0,0.0,0.0,1.1130541008858855e8,7.410216353889251e7,8.792310240242448e8,1.0186078256184008e9,1.0093559279742945e9,1.2022264950398552e9,0.2,1.1558215894459382e-9,0.21476436538992827,6.950617981540492e20,7.798721644091496e18,1.2331900037229642e11,0.011220184543019636
50.0,0.0,0.0,1.3207365012348478e8,8.834957701851559e7,8.934127540831989e8,1.0344999215436299e9,1.0446652373606333e9,1.2429634792840388e9,0.2,1.3755456959762402e-9,0.21927155986209312,6.449353656799671e20,7.665071186635488e18,1.2190737944803384e11,0.011885022274370183
50.0,0.0,0.0,1.5671889071131524e8,1.0534277493350525e8,9.08760303794122e8,1.0517244553718371e9,1.085050633717925e9,1.2893656529225428e9,0.2,1.6371719244957768e-9,0.22375288337130828,5.978037340959932e20,7.525903121188893e18,1.2051191721487155e11,0.012589254117941675
50.0,0.0,0.0,1.8596588872447258e8,1.2561245803275602e8,9.253842204110363e8,1.0704073540719445e9,1.131351282388518e9,1.342350712451529e9,0.2,1.94872577845617e-9,0.22820848441498764,5.535072917918723e20,7.381138364631405e18,1.1913242870580208e11,0.01333521432163324
50.0,0.0,0.0,2.2067512808117136e8,1.4979233731216115e8,9.434080259882836e8,1.0906892896249802e9,1.1845555962929015e9,1.4029973500201178e9,0.2,2.3197789865263835e-9,0.23263851063818108,5.118954741073455e20,7.230715760990903e18,1.1776873107111778e11,0.01412537544622754
50.0,0.0,0.0,2.6186828298936835e8,1.786392572945063e8,9.629700772565898e8,1.1127277913980126e9,1.2458286462554061e9,1.4725745690286148e9,0.2,2.761749805128713e-9,0.2370431088384669,4.7282623213993394e20,7.074594676645531e18,1.164206435541743e11,0.014962356560944336
50.0,0.0,0.0,3.1075846384435254e8,2.1305728764769155e8,9.842257402801676e8,1.136699715837233e9,1.316544683667585e9,1.552576441134086e9,0.2,3.2882622803505374e-9,0.24142242497081623,4.361655275739543e20,6.912757754381702e18,1.1508798746743138e11,0.015848931924611134
50.0,0.0,0.0,3.687861449707741e8,2.5412657620972583e8,1.0073499411256891e9,1.162804142933972e9,1.3983257385629427e9,1.6447633282773895e9,0.2,3.915576214001711e-9,0.2457766041524293,4.017868518428409e20,6.745213813025753e18,1.1377058616876828e11,0.016788040181225608
50.0,0.0,0.0,4.376618467142332e8,3.0313791789902383e8,1.0325401672483755e9,1.1912657841931353e9,1.4930874434771814e9,1.751210793211415e9,0.2,4.663101963373802e-9,0.25010579066754424,3.695707680489353e20,6.572000873736922e18,1.124682650380698e11,0.01778279410038923
50.0,0.0,0.0,5.1941685021848136e8,3.616341890538344e8,1.06002001108946e9,1.222339005865055e9,1.6030934566983783e9,1.8743676599991024e9,0.2,5.55401708544308e-9,0.2544101279722185,3.394044741784638e20,6.393189287550277e18,1.1118085145408072e11,0.018836490894898
50.0,0.0,0.0,6.164634515055784e8,4.3146003270983505e8,1.0900433683845718e9,1.256312595010114e9,1.7310201084375865e9,2.0171249508993175e9,0.2,6.616005320466985e-9,0.2586897586990825,3.111813862659031e20,6.20888493136131e18,1.099081747715249e11,0.0199526231496888
50.0,0.0,0.0,7.316664949882201e8,5.148214660550443e8,1.1228994300794647e9,1.2935154258818405e9,1.8800331539156265e9,2.1828977003127174e9,0.2,7.882142627581088e-9,0.2629448246620656,2.8480074028214442e20,6.019232431236755e18,1.0865006629848663e11,0.021134890398366465
50.0,0.0,0.0,8.684281739233587e8,6.143574276457523e8,1.158918640074271e9,1.334323221878843e9,2.0538787985700989e9,2.3757219442571545e9,0.2,9.391960095902663e-9,0.26717546686109594,2.6016721164621277e20,5.824418362747597e18,1.0740635927405054e11,0.0223872113856834
50.0,0.0,0.0,1.0307884282317954e9,7.332257022132387e8,1.1984798332881372e9,1.3791666562149165e9,2.2569915466612563e9,2.600369602713766e9,0.2,1.1192719754878313e-8,0.27138182548677225,2.3719055139162456e20,5.624674368014881e18,1.0617688884619768e11,0.023713737056616554
50.0,0.0,0.0,1.223543874075125e9,8.752061713507032e8,1.2420188224096212e9,1.4285410954977055e9,2.4946220845788307e9,2.8624846996846895e9,0.2,1.3340946838227697e-8,0.2755640399250099,2.157852381565843e20,5.420280118455873e18,1.0496149204995453e11,0.025118864315095794
